1.,United States and territories,50.71%
1.1.,    United States,50.71%
2.,Germany,26.45%
3.,France and territories,10.94%
3.1.,    France,10.94%
4.,China and territories,10.67%
4.1.,    China,9.51%
4.2.,    Hong Kong,1.55%
5.,Japan,5.08%
6.,Netherlands and territories,4.37%
6.1.,    Netherlands,4.37%
7.,Russian Federation,4.29%
8.,Italy,4.28%
9.,United Kingdom and territories,3.30%
9.1.,    United Kingdom,3.30%
10.,India,3.24%
11.,Ireland,3.20%
12.,Iran,2.55%
13.,Singapore,2.42%
14.,South Korea,2.13%
15.,Finland and territories,2.05%
15.1.,    Finland,2.05%
16.,Canada,1.39%
17.,Turkey,1.23%
18.,Sweden,1.15%
19.,Poland,1.11%
20.,Czech Republic,1.07%
21.,Taiwan,0.82%
22.,Spain,0.74%
23.,Switzerland,0.67%
24.,Australia,0.64%
25.,Viet Nam,0.58%
26.,Brazil,0.54%
27.,Indonesia,0.51%
28.,Ukraine,0.38%
29.,Belgium,0.35%
30.,United Arab Emirates,0.35%
31.,Saudi Arabia,0.35%
32.,Azerbaijan,0.35%
33.,Argentina,0.27%
34.,Austria,0.24%
35.,Luxembourg,0.22%
36.,South Africa,0.21%
37.,Romania,0.21%
38.,Slovakia,0.19%
39.,Mexico,0.18%
40.,Thailand,0.16%
41.,Israel,0.16%
42.,Greece,0.16%
43.,Portugal,0.16%
44.,Venezuela,0.14%
45.,Bulgaria,0.13%
46.,Kazakhstan,0.13%
47.,Hungary,0.11%
48.,Norway,0.11%
49.,Latvia,0.11%
50.,Pakistan,0.11%
51.,Chile,0.10%
52.,Angola,0.10%
53.,Malaysia,0.08%
54.,Estonia,0.08%
55.,Moldova,0.08%
56.,Denmark and territories,0.06%
56.1.,    Denmark,0.06%
57.,Uzbekistan,0.06%
58.,Qatar,0.06%
59.,Turkmenistan,0.06%
60.,Belarus,0.05%
61.,Bangladesh,0.05%
62.,Croatia,0.05%
63.,Egypt,0.05%
64.,Afghanistan,0.05%
65.,Lithuania,0.03%
66.,Serbia,0.03%
67.,Peru,0.03%
68.,Bosnia and Herzegovina,0.03%
69.,Algeria,0.03%
70.,Cyprus,0.03%
71.,Kuwait,0.03%
72.,Slovenia,0.02%
73.,Nepal,0.02%
74.,Colombia,0.02%
75.,Bahrain,0.02%
76.,Iceland,0.02%
77.,Kyrgyzstan,0.02%
78.,North Macedonia,0.02%
79.,Ecuador,0.02%
80.,Armenia,0.02%
81.,Cambodia,0.02%
82.,Papua New Guinea,0.02%
