United States and territories,50.71%
Germany,26.45%
France and territories,10.94%
China and territories,10.67%
Japan,5.08%
Netherlands and territories,4.37%
Russian Federation,4.29%
Italy,4.28%
United Kingdom and territories,3.30%
India,3.24%
Ireland,3.20%
Iran,2.55%
Singapore,2.42%
South Korea,2.13%
Finland and territories,2.05%
Canada,1.39%
Turkey,1.23%
Sweden,1.15%
Poland,1.11%
Czech Republic,1.07%
Taiwan,0.82%
Spain,0.74%
Switzerland,0.67%
Australia,0.64%
Viet Nam,0.58%
Brazil,0.54%
Indonesia,0.51%
Ukraine,0.38%
Belgium,0.35%
United Arab Emirates,0.35%
Saudi Arabia,0.35%
Azerbaijan,0.35%
Argentina,0.27%
Austria,0.24%
Luxembourg,0.22%
South Africa,0.21%
Romania,0.21%
Slovakia,0.19%
Mexico,0.18%
Thailand,0.16%
Israel,0.16%
Greece,0.16%
Portugal,0.16%
Venezuela,0.14%
Bulgaria,0.13%
Kazakhstan,0.13%
Hungary,0.11%
Norway,0.11%
Latvia,0.11%
Pakistan,0.11%
Chile,0.10%
Angola,0.10%
Malaysia,0.08%
Estonia,0.08%
Moldova,0.08%
Denmark and territories,0.06%
Uzbekistan,0.06%
Qatar,0.06%
Turkmenistan,0.06%
Belarus,0.05%
Bangladesh,0.05%
Croatia,0.05%
Egypt,0.05%
Afghanistan,0.05%
Lithuania,0.03%
Serbia,0.03%
Peru,0.03%
Bosnia and Herzegovina,0.03%
Algeria,0.03%
Cyprus,0.03%
Kuwait,0.03%
Slovenia,0.02%
Nepal,0.02%
Colombia,0.02%
Bahrain,0.02%
Iceland,0.02%
Kyrgyzstan,0.02%
North Macedonia,0.02%
Ecuador,0.02%
Armenia,0.02%
Cambodia,0.02%
Papua New Guinea,0.02%
