.com,58.15%
.net,3.73%
.org,2.69%
.ru,2.56%
.jp,2.44%
.cn,2.17%
.in,1.62%
.io,1.37%
.de,0.92%
.ir,0.87%
.fr,0.84%
.br,0.76%
.edu,0.76%
.au,0.75%
.tw,0.73%
.kr,0.73%
.tv,0.72%
.co,0.71%
.gov,0.69%
.uk,0.66%
.az,0.65%
.it,0.62%
.ca,0.61%
.tr,0.58%
.gr,0.56%
.mx,0.53%
.id,0.50%
.pl,0.50%
.es,0.48%
.cc,0.43%
.vn,0.40%
.to,0.35%
.me,0.34%
.sa,0.33%
.ar,0.27%
.ua,0.25%
.za,0.21%
.ao,0.21%
.pk,0.19%
.cl,0.19%
.app,0.18%
.cz,0.17%
.news,0.17%
.info,0.16%
.sk,0.16%
.xyz,0.15%
.sg,0.15%
.hk,0.15%
.il,0.14%
.be,0.14%
.ch,0.13%
.us,0.13%
.my,0.13%
.ng,0.13%
.pe,0.13%
.kz,0.11%
.at,0.11%
.live,0.10%
.hr,0.10%
.is,0.10%
.gg,0.10%
.online,0.09%
.ro,0.09%
.se,0.09%
.ma,0.09%
.ai,0.09%
.lk,0.09%
.fi,0.09%
.dev,0.09%
.eg,0.09%
.qa,0.09%
.nl,0.08%
.eu,0.08%
.ae,0.08%
.hu,0.08%
.site,0.08%
.no,0.08%
.lv,0.08%
.ly,0.08%
.nz,0.07%
.th,0.07%
.pro,0.07%
.ph,0.07%
.pt,0.07%
.finance,0.07%
.network,0.07%
.la,0.07%
.im,0.07%
.rs,0.06%
.dk,0.06%
.bd,0.06%
.today,0.06%
.ve,0.06%
.so,0.06%
.by,0.05%
.biz,0.05%
.ie,0.05%
.bg,0.05%
.vip,0.05%
.fm,0.05%
.ws,0.05%
.guru,0.05%
.kw,0.05%
.li,0.05%
.tm,0.05%
.google,0.05%
.рф,0.03%
.lt,0.03%
.am,0.03%
.uz,0.03%
.ee,0.03%
.si,0.03%
.ba,0.03%
.do,0.03%
.dz,0.03%
.win,0.03%
.xxx,0.03%
.ag,0.03%
.ac,0.03%
.mg,0.03%
.st,0.03%
.tube,0.03%
.int,0.03%
.sbi,0.03%
.top,0.02%
.ke,0.02%
.mk,0.02%
.md,0.02%
.ec,0.02%
.one,0.02%
.media,0.02%
.work,0.02%
.cat,0.02%
.nu,0.02%
.lu,0.02%
.company,0.02%
.video,0.02%
.tools,0.02%
.press,0.02%
.re,0.02%
.watch,0.02%
.game,0.02%
.cu,0.02%
.sx,0.02%
.club,0.01%
.shop,0.01%
.su,0.01%
.np,0.01%
.tn,0.01%
.asia,0.01%
.blog,0.01%
.uy,0.01%
.space,0.01%
.life,0.01%
.al,0.01%
.world,0.01%
.design,0.01%
.pw,0.01%
.cloud,0.01%
.global,0.01%
.vc,0.01%
.py,0.01%
.cr,0.01%
.ga,0.01%
.jo,0.01%
.games,0.01%
.icu,0.01%
.aero,0.01%
.mu,0.01%
.market,0.01%
.education,0.01%
.pa,0.01%
.wiki,0.01%
.plus,0.01%
.kh,0.01%
.zone,0.01%
.care,0.01%
.ninja,0.01%
.iq,0.01%
.chat,0.01%
.sh,0.01%
.jobs,0.01%
.services,0.01%
.run,0.01%
.cm,0.01%
.land,0.01%
.farm,0.01%
.money,0.01%
.wtf,0.01%
.help,0.01%
.cam,0.01%
.sy,0.01%
.email,0.01%
.download,0.01%
.mm,0.01%
.cx,0.01%
.pub,0.01%
.eus,0.01%
.ovh,0.01%
.tc,0.01%
.party,0.01%
.onl,0.01%
.lat,0.01%
.sc,0.01%
.fyi,0.01%
.lol,0.01%
.ms,0.01%
.menu,0.01%
.sexy,0.01%
.pm,0.01%
.mil,0.01%
.taipei,0.01%
.gratis,0.01%
.town,0.01%
.restaurant,0.01%
.gal,0.01%
.fans,0.01%
.limited,0.01%
.lc,0.01%
.management,0.01%
.desi,0.01%
.bnpparibas,0.01%
.bradesco,0.01%
.dhl,0.01%
.sncf,0.01%
.kpmg,0.01%
