Amazon,24.29%
Zendesk,5.03%
Google,4.73%
Alibaba,3.41%
China Telecom,2.33%
WP Engine Group,2.15%
Microsoft,2.11%
OVH,1.85%
Hetzner,1.66%
Salesforce,1.51%
Shopify,1.41%
China Unicom,1.37%
Automattic Group,1.29%
Tencent,1.12%
Intercom,0.86%
DigitalOcean,0.85%
Verizon Group,0.83%
Netlify,0.74%
CenturyLink,0.67%
Webflow,0.62%
HubSpot,0.61%
Pantheon,0.57%
Asiatech,0.53%
LeaseWeb Group,0.53%
Acquia,0.51%
Vercel,0.48%
XBT Holding,0.47%
China Mobile,0.47%
GoDaddy Group,0.46%
Rackspace,0.46%
Hurricane Electric,0.46%
Linode,0.38%
Selectel,0.38%
NTT Group,0.37%
Medium,0.37%
KT Group,0.34%
LG Group,0.32%
Newfold Digital Group,0.31%
Kinsta,0.31%
GitHub,0.31%
Advanced Hosting,0.30%
Yandex,0.30%
United Internet,0.27%
Internet Initiative Japan,0.26%
IBM,0.24%
Internap Group,0.23%
Chunghwa Telecom,0.23%
IDC Frontier,0.23%
Oracle,0.23%
Squarespace,0.22%
Liquid Web,0.22%
Neustar,0.22%
Sakura,0.21%
VNPT,0.21%
Telefónica Group,0.21%
UCloud,0.19%
Pagely,0.19%
Scaleway,0.18%
Heroku,0.18%
SK Group,0.18%
Delta Telecom,0.18%
Zoho,0.16%
Hivelocity,0.15%
Deutsche Telekom Group,0.15%
Vodafone,0.15%
Afranet,0.15%
CSC,0.14%
Zenlayer,0.14%
SiteGround,0.13%
Contabo,0.13%
Choopa,0.13%
XServer,0.13%
Pars Online,0.13%
Wix,0.11%
Hostinger,0.11%
GMO Internet Group,0.11%
Aruba Group,0.11%
Serverel,0.11%
KDDI Group,0.11%
Equinix,0.11%
Rostelecom Group,0.10%
Cogent,0.10%
First Colo,0.10%
Namecheap,0.09%
InMotion,0.09%
Scalaxy,0.09%
Cnservers,0.09%
team.blue,0.08%
REG.RU,0.08%
DreamHost,0.08%
FPT,0.08%
AT&T,0.08%
HKBN,0.08%
Codero,0.08%
Baidu,0.08%
NetEase,0.08%
A2 Hosting,0.07%
Bigcommerce,0.07%
Pair Networks,0.07%
Limestone Networks,0.07%
Virtual Systems,0.07%
Presslabs,0.07%
Wikimedia,0.07%
Pars Parva System,0.06%
PhoenixNAP,0.06%
QuadraNet,0.06%
Hostiran,0.06%
THG Hosting,0.06%
CtrlS,0.06%
Telia Company Group,0.06%
Platform.sh,0.06%
Claranet,0.06%
NFOrce Entertainment,0.06%
Cisco,0.06%
RBC Group,0.05%
Tilda,0.05%
Radore,0.05%
Viettel,0.05%
InterServer,0.05%
Ntirety,0.05%
TierPoint,0.05%
MiroHost,0.05%
Premier DC,0.05%
Gainet,0.05%
Noris network,0.05%
Accretive,0.05%
Mail.Ru,0.05%
ServerStack,0.05%
Turkmentelecom,0.05%
Cloudways,0.03%
Faraso Samaneh Pasargad,0.03%
Gandi,0.03%
uKit Group,0.03%
Flexential,0.03%
ServerCentral,0.03%
MojoHost,0.03%
Internet Thailand,0.03%
Swisscom Group,0.03%
Grupo GTD,0.03%
True,0.03%
Teléfonos de México,0.03%
Gruppo TIM,0.03%
WebNX,0.03%
Voxility,0.03%
Ning,0.03%
Servebolt,0.03%
Telecom Egypt,0.03%
Atos Group,0.03%
Biglobe,0.03%
RebelMouse,0.03%
Maxihost,0.03%
Apple,0.03%
Weebly,0.02%
Mihan,0.02%
АО IoT,0.02%
PrivateSystems,0.02%
Duda,0.02%
Xneelo,0.02%
Tebyan,0.02%
iomart Group,0.02%
One.com,0.02%
Masterhost,0.02%
Cogeco Group,0.02%
Exabytes Group,0.02%
DGN Teknoloji,0.02%
FastVPS,0.02%
DHH,0.02%
PS Internet Company,0.02%
Cafe24,0.02%
Netdirekt,0.02%
Dinahosting,0.02%
Confluence-Networks,0.02%
Bezeq Group,0.02%
Enartia Group,0.02%
M247,0.02%
Psychz,0.02%
Hostwinds,0.02%
VSHosting,0.02%
Comcast,0.02%
Romarg,0.02%
Sharktech,0.02%
KPN Group,0.02%
Casablanca,0.02%
PTisp,0.02%
Colt,0.02%
SH.cz,0.02%
Eurofiber Group,0.02%
Expedient,0.02%
Kazakhtelecom Group,0.02%
NetSuite,0.02%
A1 Telekom Austria Group,0.02%
Telekomunikasi Indonesia,0.02%
Irideos,0.02%
Neterra,0.02%
Fly,0.02%
DEAC,0.02%
Forthnet,0.02%
Hewlett-Packard,0.02%
Güzel Hosting,0.01%
Aerotek,0.01%
Dreamscape Networks,0.01%
Prom.ua,0.01%
Hoster.by,0.01%
CS LoxInfo,0.01%
Nexcess,0.01%
Serverpars,0.01%
20i,0.01%
WPX Hosting,0.01%
GreenWeb,0.01%
Infomaniak,0.01%
BanaHosting,0.01%
Steadfast,0.01%
Isimtescil,0.01%
UpCloud,0.01%
CAT Telecom,0.01%
Beltelecom,0.01%
DonWeb,0.01%
Hostiserver,0.01%
GreenGeeks,0.01%
GloboTech,0.01%
EuroByte,0.01%
Web Werks,0.01%
ColoCrossing,0.01%
FirstVDS,0.01%
CMC Telecom,0.01%
Wildcard,0.01%
YouCan.shop,0.01%
Jimdo,0.01%
Performive,0.01%
Lightspeed,0.01%
Cellcom,0.01%
Master Internet,0.01%
WorldStream,0.01%
WebSupport,0.01%
Tucows Group,0.01%
Atman,0.01%
SiteSell,0.01%
EGIHosting,0.01%
TheGigabit,0.01%
GlobalConnect,0.01%
VTEX,0.01%
WPMU Dev,0.01%
GleSYS,0.01%
Tiggee,0.01%
Serverius,0.01%
Liberty Global Group,0.01%
Profihost,0.01%
Comvive,0.01%
Webair,0.01%
CEC,0.01%
Nessus,0.01%
IQ PL,0.01%
Big Cartel,0.01%
Cincinnati Bell Group,0.01%
HopOne,0.01%
New World Telecom,0.01%
Alwaysdata,0.01%
LightEdge,0.01%
CITIC Group,0.01%
Webglobe-Yegon,0.01%
GorillaServers,0.01%
Website Pro,0.01%
Swan,0.01%
SmugMug,0.01%
Kamatera,0.01%
Atlantic Metro,0.01%
GTT,0.01%
Telecom Algeria,0.01%
OverBlog,0.01%
Optimum,0.01%
Universo Online,0.01%
Advania,0.01%
Deninet,0.01%
Lancom,0.01%
Datagroup,0.01%
Prometey,0.01%
WMaker,0.01%
NetCologne,0.01%
Core-Backbone,0.01%
RackSRV,0.01%
ElCat,0.01%
XinNet,0.01%
SK Communications,0.01%
